Row,Name,Count,crank1,crankx
388,KEEGAN ,106,-40Ê ,+29Ê
391,ALISTAIR ,105,+5Ê ,-141Ê
391,JOHNNY ,105,+78Ê ,-48Ê
393,RONAN ,104,+38Ê ,-45Ê
393,ZAYAN ,104,+27Ê ,+1018Ê
395,HASHIM ,103,-50Ê ,+64Ê
395,LAWRENCE ,103,-20Ê ,-112Ê
397,CLAYTON ,102,+43Ê ,-29Ê
397,ERNEST ,102,+43Ê ,+764Ê
397,FRANCISZEK ,102,+37Ê ,Ê:Ê
397,IGOR ,102,+15Ê ,+1336Ê
397,MAKSYMILIAN ,102,-34Ê ,+1674Ê
402,ANAS ,101,_Ê ,+37Ê
402,EZEKIEL ,101,+38Ê ,+359Ê
402,KANE ,101,-93Ê ,-266Ê
402,MATTEO ,101,+18Ê ,+52Ê
406,AZAAN ,100,-50Ê ,+344Ê
406,HUSSAIN ,100,+6Ê ,+25Ê
406,KYRAN ,100,+6Ê ,-38Ê
409,DILLON ,99,-83Ê ,-251Ê
409,JEREMY ,99,+99Ê ,-44Ê
409,KENZIE ,99,-73Ê ,+530Ê
409,LAWSON ,99,+41Ê ,+530Ê
409,MATEUSZ ,99,-64Ê ,+939Ê
409,TOMOS ,99,-13Ê ,-128Ê
409,WOODY ,99,+55Ê ,+146Ê
409,ZAKARIA ,99,+42Ê ,-33Ê
417,ISMAEEL ,98,-5Ê ,+70Ê
417,YASEEN ,98,+28Ê ,+182Ê
419,CALVIN ,97,+28Ê ,-45Ê
419,LEE ,97,-44Ê ,-289Ê
419,MONTGOMERY ,97,-31Ê ,+147Ê
419,ZION ,97,+32Ê ,+249Ê
423,HEATH ,96,-35Ê ,+516Ê
423,HENLEY ,96,-3Ê ,Ê:Ê
423,MYLO ,96,-29Ê ,+2156Ê
426,ANTONIO ,95,+98Ê ,-121Ê
426,MARCO ,95,+43Ê ,-92Ê
426,REHAN ,95,+49Ê ,+263Ê
429,BARNEY ,94,-47Ê ,+48Ê
429,BRAYDEN ,94,-9Ê ,+289Ê
429,DANTE ,94,+3Ê ,+6Ê
429,DIEGO ,94,+75Ê ,+208Ê
429,WALTER ,94,+167Ê ,+649Ê
434,CURTIS ,93,-32Ê ,-240Ê
434,DANIYAL ,93,-25Ê ,+203Ê
434,LEYTON ,93,-22Ê ,+9Ê
434,REMY ,93,+90Ê ,+473Ê
438,COLBY ,92,-6Ê ,+161Ê
438,IMRAN ,92,+59Ê ,-14Ê
438,MIKOLAJ ,92,+21Ê ,+2572Ê
438,STEVEN ,92,-50Ê ,-274Ê
442,BRUNO ,91,+37Ê ,+113Ê
442,DEVON ,91,+5Ê ,-127Ê
442,HASAN ,91,-105Ê ,-216Ê
442,JUSTIN ,91,-135Ê ,-267Ê
442,KYRON ,91,+9Ê ,+53Ê
442,MALAKAI ,91,-60Ê ,+113Ê
442,WILL ,91,-60Ê ,-254Ê
449,KOBE ,90,+26Ê ,+100Ê
449,MITCHELL ,90,-80Ê ,-320Ê
449,SHANE ,90,-90Ê ,-306Ê
452,ARMAAN ,88,-93Ê ,-35Ê
452,JAGO ,88,+17Ê ,-28Ê
452,RYLEE ,88,-89Ê ,+390Ê
455,DARIUS ,87,+77Ê ,+452Ê
455,LELAND ,87,-141Ê ,Ê:Ê
457,AXEL ,86,+175Ê ,+891Ê
457,BRYAN ,86,+29Ê ,+142Ê
457,DEAN ,86,-28Ê ,-257Ê
457,HAIDER ,86,+51Ê ,-98Ê
457,MIKEY ,86,-55Ê ,-3Ê
457,SULAIMAN ,86,+67Ê ,+142Ê
463,AYAN ,85,+45Ê ,+1134Ê
463,AYDIN ,85,-2Ê ,+1416Ê
463,CAI ,85,-51Ê ,-192Ê
463,EDWIN ,85,+1Ê ,+60Ê
463,JAKOB ,85,-75Ê ,-79Ê
463,KRISH ,85,+34Ê ,+444Ê
463,SANTIAGO ,85,+75Ê ,+328Ê
463,VINNY ,85,+118Ê ,+413Ê
471,AAYAN ,84,+18Ê ,+2539Ê
471,HARI ,84,-37Ê ,+61Ê
471,IOAN ,84,+8Ê ,-112Ê
471,YUNUS ,84,-37Ê ,+345Ê
475,AAHIL ,83,+136Ê ,+1596Ê
475,ABRAHAM ,83,+80Ê ,-101Ê
475,CAYDEN ,83,-93Ê ,+229Ê
475,HAMISH ,83,-46Ê ,-160Ê
475,KIT ,83,+49Ê ,+2Ê
475,LUCIAN ,83,+25Ê ,+525Ê
475,MALIK ,83,-35Ê ,+25Ê
475,RUEBEN ,83,+71Ê ,+496Ê
483,GEORGIE ,82,-19Ê ,+72Ê
483,JONAS ,82,-22Ê ,+116Ê
485,AMARI ,81,-27Ê ,+219Ê
485,ANTONY ,81,-6Ê ,-187Ê
485,HENRI ,81,-10Ê ,+194Ê
485,MICHAL ,81,-34Ê ,+1248Ê
489,FRANKY ,80,+132Ê ,+859Ê
489,IAN ,80,+107Ê ,-184Ê
489,KAMIL ,80,+15Ê ,+387Ê
489,MAGNUS ,80,+76Ê ,+387Ê
489,MATAS ,80,+11Ê ,+734Ê
489,RYLEY ,80,-110Ê ,-127Ê
495,AMAAN ,79,-160Ê ,-308Ê
495,CADEN ,79,-2Ê ,-52Ê
495,GETHIN ,79,-139Ê ,+81Ê
495,KADEN ,79,-16Ê ,-157Ê
495,RUDI ,79,+116Ê ,+184Ê
495,YAQUB ,79,+51Ê ,+544Ê
495,YASIN ,79,-26Ê ,+5Ê
502,KODY ,78,+101Ê ,+248Ê
502,OLIWIER ,78,-100Ê ,+2508Ê
502,PRINCE ,78,-2Ê ,-104Ê
502,REGINALD ,78,+68Ê ,+846Ê
502,RYDER ,78,+79Ê ,+721Ê
507,RAHEEM ,77,+82Ê ,-64Ê
507,SUBHAN ,77,-73Ê ,-12Ê
509,CORY ,76,-58Ê ,-303Ê
509,JAMAL ,76,+37Ê ,-245Ê
509,LENNOX ,76,+61Ê ,+430Ê
509,YUVRAJ ,76,-50Ê ,+90Ê
513,AARYAN ,75,+7Ê ,+394Ê
513,DAMIEN ,75,+25Ê ,-222Ê
513,MOSES ,75,+25Ê ,+124Ê
513,RAY ,75,+418Ê ,+394Ê
513,REGAN ,75,-125Ê ,-303Ê
513,WIKTOR ,75,-44Ê ,+2497Ê
519,LOKI ,74,+302Ê ,+829Ê
520,ANDRE ,73,-12Ê ,-243Ê
520,CAELAN ,73,+12Ê ,+271Ê
520,DALTON ,73,+135Ê ,+12Ê
520,KRISTIAN ,73,+61Ê ,-276Ê
520,KYLAN ,73,-118Ê ,+979Ê
520,LLOYD ,73,-27Ê ,-285Ê
520,MILLER ,73,+26Ê ,+641Ê
527,ALEXANDRU ,72,+43Ê ,+1352Ê
527,ELIS ,72,-13Ê ,+110Ê
527,KASPER ,72,+33Ê ,+821Ê
527,KEYAAN ,72,+69Ê ,+1070Ê
527,ZAYAAN ,72,+62Ê ,+1070Ê
532,FRAZER ,71,-28Ê ,-9Ê
532,VIHAAN ,71,+6Ê ,Ê:Ê
534,ABU ,70,+217Ê ,+65Ê
534,ANGELO ,70,+62Ê ,+65Ê
534,ISHAAN ,70,-10Ê ,+544Ê
534,ISSAC ,70,+21Ê ,+747Ê
534,MAISON ,70,-114Ê ,+373Ê
534,SEBASTIEN ,70,+55Ê ,+56Ê
540,FARIS ,69,+6Ê ,+1Ê
540,ISRAEL ,69,+15Ê ,+97Ê
542,KOBY ,68,+23Ê ,+30Ê
542,PIOTR ,68,+105Ê ,+2037Ê
544,FERGUS ,67,-75Ê ,-177Ê
544,GUY ,67,+16Ê ,-308Ê
544,LENNIE ,67,+103Ê ,+456Ê
544,RICO ,67,-58Ê ,+42Ê
544,USMAN ,67,-40Ê ,-261Ê
544,VEER ,67,+59Ê ,+1761Ê
550,ANDREI ,66,+87Ê ,+673Ê
550,CHARLEY ,66,-4Ê ,-198Ê
550,CILLIAN ,66,+180Ê ,+2460Ê
550,ERNIE ,66,+159Ê ,+2029Ê
550,JARED ,66,-26Ê ,-281Ê
550,KEATON ,66,-57Ê ,-237Ê
550,KINGSLEY ,66,+87Ê ,+211Ê
550,KYAN ,66,-86Ê ,-80Ê
558,LACHLAN ,65,-12Ê ,-71Ê
558,LOCHLAN ,65,+151Ê ,+481Ê
558,MAXIM ,65,+12Ê ,-35Ê
558,WARREN ,65,-50Ê ,-245Ê
562,AARIZ ,64,+158Ê ,+2017Ê
562,CIARAN ,64,-73Ê ,-455Ê
562,SULLIVAN ,64,+168Ê ,+438Ê
562,TONY ,64,+130Ê ,-271Ê
566,ARJAN ,63,+89Ê ,+208Ê
566,BYRON ,63,-52Ê ,-327Ê
566,DREW ,63,-127Ê ,-352Ê
566,ISHAQ ,63,+66Ê ,+405Ê
566,NED ,63,-6Ê ,-135Ê
566,ORSON ,63,+154Ê ,+1739Ê
566,RIVER ,63,-87Ê ,+473Ê
566,YOUSUF ,63,+89Ê ,+113Ê
574,ABDULRAHMAN ,62,+21Ê ,-8Ê
574,DAWUD ,62,-36Ê ,+268Ê
